100	0.100000	0.075000
200	0.160000	0.124000
300	0.247000	0.152000
400	0.316000	0.196000
500	0.400000	0.243000
600	0.468000	0.291000
700	0.543000	0.335000
800	0.623000	0.388000
900	0.700000	0.431000
1000	0.787000	0.479000
1100	1.031000	0.579000
1200	1.146000	0.679000
1300	1.207000	0.735000
1400	1.330000	0.679000
1500	1.378000	0.843000
1600	1.494000	0.903000
1700	1.427000	0.962000
1800	1.618000	1.018000
1900	1.490000	1.063000
2000	1.566000	1.102000
2100	1.828000	1.159000
2200	1.969000	1.254000
2300	1.841000	1.287000
2400	1.934000	1.318000
2500	2.093000	1.274000
2600	2.074000	1.446000
2700	2.153000	1.362000
2800	2.225000	1.374000
2900	2.317000	1.518000
3000	2.377000	1.662000
