100	0.012000	0.031000
200	0.024000	0.056000
300	0.032000	0.080000
400	0.040000	0.104000
500	0.048000	0.128000
600	0.063000	0.156000
700	0.068000	0.180000
800	0.068000	0.204000
900	0.076000	0.195000
1000	0.088000	0.224000
1100	0.092000	0.236000
1200	0.103000	0.256000
1300	0.112000	0.300000
1400	0.120000	0.299000
1500	0.128000	0.320000
1600	0.136000	0.351000
1700	0.147000	0.360000
1800	0.156000	0.392000
1900	0.160000	0.419000
2000	0.172000	0.431000
2100	0.180000	0.455000
2200	0.208000	0.479000
2300	0.200000	0.583000
2400	0.200000	0.511000
2500	0.212000	0.543000
2600	0.228000	0.559000
2700	0.228000	0.579000
2800	0.236000	0.603000
2900	0.244000	0.631000
3000	0.259000	0.719000
