100	0.044000	0.044000
200	0.084000	0.084000
300	0.128000	0.112000
400	0.167000	0.156000
500	0.216000	0.192000
600	0.243000	0.220000
700	0.288000	0.256000
800	0.332000	0.295000
900	0.364000	0.331000
1000	0.400000	0.367000
1100	0.452000	0.415000
1200	0.491000	0.439000
1300	0.535000	0.476000
1400	0.564000	0.511000
1500	0.607000	0.547000
1600	0.587000	0.579000
1700	0.583000	0.540000
1800	0.631000	0.571000
1900	0.799000	0.691000
2000	0.695000	0.731000
2100	0.728000	0.655000
2200	0.747000	0.679000
2300	0.795000	0.711000
2400	0.839000	0.763000
2500	0.875000	0.775000
2600	0.894000	0.803000
2700	0.915000	0.823000
2800	0.971000	0.855000
2900	1.011000	0.882000
3000	1.039000	0.919000
